INFO at 2019-04-17 18:27:55,467: Started logging
INFO at 2019-04-17 18:28:37,957: Started logging
INFO at 2019-04-17 18:28:37,957: opened capture file handler
INFO at 2019-04-17 18:29:27,401: Started logging
INFO at 2019-04-17 18:29:27,401: opened capture file handler
INFO at 2019-04-17 18:31:59,053: Started logging
INFO at 2019-04-17 18:31:59,053: opened capture file handler
INFO at 2019-04-17 18:31:59,054: trying to open a file
INFO at 2019-04-17 18:32:11,031: Started logging
INFO at 2019-04-17 18:32:11,033: opened capture file handler
INFO at 2019-04-17 18:32:11,034: trying to open a file
INFO at 2019-04-17 18:32:47,542: Started logging
INFO at 2019-04-17 18:32:47,542: opened capture file handler
INFO at 2019-04-17 18:32:47,543: trying to open a file
INFO at 2019-04-17 18:34:10,149: Started logging
INFO at 2019-04-17 18:34:10,150: opened capture file handler
INFO at 2019-04-17 18:34:10,151: trying to open a file
INFO at 2019-04-17 18:34:10,151: successfully opened file
INFO at 2019-04-17 18:34:10,151: Success! Capture can be replayed.
